num,address,city,type,size,sf_avail,rent
31,505 Montgomery St,San Francisco,Office,"350,786 SF","10 - 115,528",$36.00 - 60.00 SF/Year
32,1850 Gateway Dr,San Mateo,Office,"142,911 SF","2,979 - 72,792",$47.40 - 63.00 SF/Year
33,Bush & Larkin 1200-1232 Larkin St,San Francisco,Warehouse,"37,812 SF","18,906 - 37,812",$50.00 SF/Year
34,The Redstone Building 2940 16th St,San Francisco,Office,"55,560 SF","143 - 1,898",$23.28 SF/Year
35,550 Allerton St,Redwood City,Office,"76,649 SF","14,886",$87.00 SF/Year
36,388 Cambridge Ave,Palo Alto,Office,"38,523 SF","7,600 - 32,600 $119.40",SF/Year
37,Union Square Building 291 Geary St,San Francisco,Office,"41,385 SF","857 - 10,569",Withheld
38,993 Laurel St,San Carlos,Office,"17,853 SF","1,128 - 14,661",Withheld
39,986 Mission St,San Francisco,Office,"45,060 SF","2,000 - 29,270",$22.00 - 26.00 SF/Year
40,The Russ Building 235 Montgomery St,San Francisco,Office,"530,000 SF","457 - 254,124",$29.00 SF/Year
41,601 Montgomery St,San Francisco,Office,"233,628 SF","1,430 - 132,094",Withheld
42,The Mills Building 220 Montgomery St,San Francisco,Office,"491,624 SF","3,506 - 141,937",$29.00 - 68.00 SF/Year
43,Sunnyvale Financial Plaza 333 W El Camino Real,Sunnyvale,Office,"52,414 SF","1,100 - 16,005",Withheld
44,Union Street Plaza 2001 Union St,San Francisco,Office,"84,236 SF","1,000 - 5,646",$62.00 - 72.00 SF/Year
45,400 South 400 S El Camino Real,San Mateo,Office,"153,432 SF","1,825",$81.00 SF/Year
46,2000 Alameda 2000 Alameda de las Pul- gas,San Mateo,Office,"153,336 SF","4,478 - 21,467",$45.00 SF/Year
47,900 Front St,San Francisco,Office,"116,328 SF","4,500 - 9,000",$48.00 SF/Year
48,2513-2525 E Charleston Rd,Mountain View,Office,"49,137 SF","7,647 - 33,498",$42.00 SF/Year
49,Amco Building 650 5th St,San Francisco,Office,"60,900 SF","1,334 - 8,933",Withheld
50,101 S San Mateo Dr,San Mateo,Office,"70,334 SF","5,744 - 23,650",Withheld
51,Laurel Towers 3700 S El Camino Real,San Mateo,Office,"8,170 SF","547 - 3,187",$23.40 - 30.00 SF/Year
52,1301 Sansome St,San Francisco,Office,"35,466 SF","50 - 22,051",$38.00 SF/Year
53,1650 S Amphlett Blvd,San Mateo,Office,"46,686 SF","881 - 5,066",Withheld
54,1730 S Amphlett Blvd,San Mateo,Office,"61,485 SF","1,395 - 20,524",Withheld
55,600 El Camino Real,Belmont,Retail,"10,700 SF","3,400",$36.00 SF/Year
56,James Bong Bldg 833 Market St,San Francisco,Office,"126,894 SF","289 - 59,046",$33.00 - 36.00 SF/Year
57,1045 17th St,San Francisco,Office,"16,000 SF","1,446 - 14,816",$32.04 - 33.00 SF/Year
58,490 Post St,San Francisco,Office,"129,000 SF","90 - 6,991",$52.80 - 66.00 SF/Year
59,90 Spruce Ave,South San Francisco,Light Distribution,"36,000 SF","742 - 12,820",$18.60 - 21.00 SF/Year
60,385 1st Ave,San Mateo,Office,"1,670 SF","1,670",$36.00 SF/Year
61,500-506 2nd Ave,San Mateo,Office,"5,000 SF","1,860",$24.00 SF/Year
62,181 2nd St,San Francisco,Office,"26,000 SF","150 - 20,500",$40.00 - 42.00 SF/Year
63,425 2nd St,San Francisco,Office,"54,712 SF","3,100 - 7,502",$29.00 - 42.00 SF/Year
64,625 Second 625 2nd St,San Francisco,Office,"171,187 SF","3,625 - 33,638",$45.00 - 65.00 SF/Year
65,665 3rd St,San Francisco,Office,"134,445 SF","200 - 51,605",$27.00 - 36.00 SF/Year
66,6258-6260 3rd St,San Francisco,Retail,"3,000 SF","1,370",$30.00 SF/Year
67,51-69 E 3rd Ave,San Mateo,Office,"40,000 SF","100 - 4,500",$48.00 SF/Year
68,301 E 3rd Ave,San Mateo,Office,"10,000 SF","1,200 - 3,197",$54.00 SF/Year
69,370 4th St,San Francisco,Office,"8,000 SF","4,000 - 11,472",$40.00 SF/Year
70,534-548 4th St,San Francisco,Office,"28,000 SF","14,000 - 28,000",$45.00 SF/Year
71,584-590 4th St,San Francisco,Retail,"5,625 SF","625 - 4,850",$35.00 SF/Year
72,4-98 E 4th Ave,San Mateo,Retail,"92,769 SF","2,740",$45.00 SF/Year
73,17 E 4th Ave,San Mateo,Office,"2,305 SF","1,152 - 2,305",$33.00 SF/Year
74,33 E 4th Ave,San Mateo,Office,"8,555 SF","3,145 - 8,555",$30.00 SF/Year
75,37 E 4th Ave,San Mateo,Office,"9,600 SF","5,000",$60.00 SF/Year
76,325 5th St,San Francisco,Office,"10,891 SF","3,572 - 7,144",$48.00 SF/Year
77,153 E 5th Ave,San Mateo,Retail,"3,500 SF",845,$52.20 SF/Year
78,Twin Pines Professional B… 1200 6th Ave,Belmont,Office,"3,976 SF",806,$39.00 SF/Year
79,380 7th St,San Francisco,Office,"4,800 SF","2,125",$45.12 SF/Year
80,301-335 8th St,San Francisco,Showroom,"72,324 SF","1,335 - 13,875",$21.00 SF/Year
81,Sobel Design Bldg 680 8th St,San Francisco,Retail,"47,628 SF","1,055 - 13,503",Withheld
82,271-275 9th St,San Francisco,Office,"22,500 SF","4,900",$18.00 SF/Year
83,346 9th St,San Francisco,Office,"25,000 SF","12,500 - 25,000",$60.00 SF/Year
84,414-424 9th St,San Francisco,Office,"30,010 SF","6,690",$32.00 SF/Year
85,450 9th St,San Francisco,Office,"27,000 SF","9,000 - 27,000",$30.00 SF/Year
86,James Lick Bath House 165 10th St,San Francisco,Office,"12,658 SF",600,$54.96 SF/Year
87,221-225 11th St,San Francisco,Retail,"11,396 SF","4,170",$36.00 SF/Year
88,350 11th St,San Francisco,Office,"25,000 SF","3,125 - 25,000",$48.00 SF/Year
89,645 14th Ave,San Francisco,Specialty,"32,703 SF","11,434 - 22,868",$36.00 SF/Year
90,411 15th Ave,San Francisco,Apartments,16 Units,"752 - 1,542",Withheld
91,2973 16th St,San Francisco,Office,"22,572 SF","4,281 - 8,562",$15.00 - 21.00 SF/Year
92,3140-3150 16th St,San Francisco,Retail,"20,214 SF","2,699 - 5,748",$36.00 - 60.00 SF/Year
93,3001 19th St,San Francisco,Office,"17,000 SF","6,000",$48.00 SF/Year
94,1800-1824 20th St,San Francisco,Office,"11,834 SF","422 - 1,611",$45.00 - 59.00 SF/Year
95,3505 20th St,San Francisco,Office,"7,381 SF","4,200",$30.00 SF/Year
96,126 W 25th Ave,San Mateo,Retail,"9,107 SF","2,500",$18.00 SF/Year
97,Cedar Hill Office 295 89th St,Daly City,Office,"24,072 SF","556 - 1,725",$34.20 SF/Year
98,Bayside Corporate Center 433 Airport Blvd,Burlingame,Office,"67,000 SF","493 - 16,974",$24.00 - 30.00 SF/Year
99,930 Alabama St,San Francisco,Office,"6,500 SF","6,500",$80.00 SF/Year
100,Sea Breeze 111 Anza Blvd,Burlingame,Office,"101,485 SF","1,040 - 22,495",$45.00 SF/Year
101,455 Arkansas St,San Francisco,Office,"12,000 SF","5,000",$30.96 SF/Year
102,15-25 S B St,San Mateo,Office,"11,600 SF","1,425",$43.20 SF/Year
